Category,Count,Average Price
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/american_restaurant_and_asian_restaurant,6,6.740000000000001
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,restaurants,food_&_entertainment",7,10.39
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/american_restaurant,_pizza_place,_and_gluten-free_restaurant,american_restaurant,pizza_place,gluten-free_restaurant",8,nan
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza,restaurants",8,10.3025
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/italian_restaurant,pizza_place,take_out_restaurants,restaurants,italian_restaurant_and_pizza_place,pizza,doctor",9,8.501111111111111
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,pizza,sandwich_shops,italian_restaurants,delicatessens,restaurants",9,nan
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/burger_joint_and_cupcake_shop,9,17.06111111111111
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza,caterers,take_out_restaurants,family_style_restaurants,restaurants,catering,pizza_place",9,17.191111111111113
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/deli_/_bodega,mediterranean_restaurants,american_restaurants,deli_/_bodega_south_philadelphia,caterers,restaurants,sandwich_shops,bagels,italian_restaurants,delicatessens,health_food_restaurants",10,4.415000000000001
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/italian_restaurant,11,8.859090909090908
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,sacramento_restaurants",11,11.568181818181818
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/restaurant,italian_restaurant",11,13.454545454545455
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,_bar,_and_sports_bar_lodo,american_restaurant,coffee_shop_lodo,restaurants,pizza_place,_bar,_and_sports_bar,pizza_place_lodo,bakeries,restaurant,american_restaurant_lodo,bar,dessert_shops,pizza_place,sports_bar,burger_joint,_american_restaurant,_and_fast_food_restaurant_lodo",11,nan
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/italian_restaurant,restaurant",12,18.41
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/american_restaurant,bar",13,nan
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/sports_bar,bar,sports_bar_and_bar,sports_bar_and_bar_east_end",13,nan
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,pizza,restaurants,take_out_restaurants",14,6.756428571428572
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,italian_restaurant,restaurants,pizza_place_and_italian_restaurant",17,15.047058823529408
"http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,mediterranean_restaurant,take_out_restaurants,caterers,restaurants,pizza",20,nan
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/restaurant,26,nan
http://www.semanticweb.org/city/in3067-inm713/2023/restaurants/pizza_place,66,nan
